name,description,isMandatory,impcParameterOrigId
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37896
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37897
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37898
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37899
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37900
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37901
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37902
Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE,37903
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89737
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89738
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89739
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89740
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89741
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89742
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89743
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89744
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89745
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89747
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89748
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89749
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89750
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89751
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89752
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89753
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89754
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89755
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89756
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89757
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89758
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89759
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89760
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89761
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89762
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89763
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89764
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,89765
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,90855
Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE,90856
Gross Pathology and Tissue Collection,NA,TRUE,22110
Gross Pathology and Tissue Collection,NA,TRUE,22111
Gross Pathology and Tissue Collection,NA,TRUE,22112
Gross Pathology and Tissue Collection,NA,TRUE,22113
Gross Pathology and Tissue Collection,NA,TRUE,22114
Gross Pathology and Tissue Collection,NA,TRUE,22115
Gross Pathology and Tissue Collection,NA,TRUE,22116
Gross Pathology and Tissue Collection,NA,TRUE,22117
Gross Pathology and Tissue Collection,NA,TRUE,22118
Gross Pathology and Tissue Collection,NA,TRUE,22119
Gross Pathology and Tissue Collection,NA,TRUE,22120
Gross Pathology and Tissue Collection,NA,TRUE,22121
Gross Pathology and Tissue Collection,NA,TRUE,22122
Gross Pathology and Tissue Collection,NA,TRUE,22123
Gross Pathology and Tissue Collection,NA,TRUE,22124
Gross Pathology and Tissue Collection,NA,TRUE,22125
Gross Pathology and Tissue Collection,NA,TRUE,22126
Gross Pathology and Tissue Collection,NA,TRUE,22127
Gross Pathology and Tissue Collection,NA,TRUE,22128
Gross Pathology and Tissue Collection,NA,TRUE,22129
Gross Pathology and Tissue Collection,NA,TRUE,22130
Gross Pathology and Tissue Collection,NA,TRUE,22131
Gross Pathology and Tissue Collection,NA,TRUE,22132
Gross Pathology and Tissue Collection,NA,TRUE,22133
Gross Pathology and Tissue Collection,NA,TRUE,22134
Gross Pathology and Tissue Collection,NA,TRUE,22135
Gross Pathology and Tissue Collection,NA,TRUE,22136
Gross Pathology and Tissue Collection,NA,TRUE,22137
Gross Pathology and Tissue Collection,NA,TRUE,22138
Gross Pathology and Tissue Collection,NA,TRUE,22139
Gross Pathology and Tissue Collection,NA,TRUE,22140
Gross Pathology and Tissue Collection,NA,TRUE,22141
Gross Pathology and Tissue Collection,NA,TRUE,22142
Gross Pathology and Tissue Collection,NA,TRUE,22143
Gross Pathology and Tissue Collection,NA,TRUE,22144
Gross Pathology and Tissue Collection,NA,TRUE,22145
Gross Pathology and Tissue Collection,NA,TRUE,22146
Gross Pathology and Tissue Collection,NA,TRUE,22147
Gross Pathology and Tissue Collection,NA,TRUE,22148
Gross Pathology and Tissue Collection,NA,TRUE,22149
Gross Pathology and Tissue Collection,NA,TRUE,22150
Gross Pathology and Tissue Collection,NA,TRUE,22151
Histopathology,NA,FALSE,75513
Histopathology,NA,FALSE,75514
Histopathology,NA,FALSE,75515
Histopathology,NA,FALSE,75517
Histopathology,NA,FALSE,75518
Histopathology,NA,FALSE,75519
Histopathology,NA,FALSE,75521
Histopathology,NA,FALSE,75522
Histopathology,NA,FALSE,75523
Histopathology,NA,FALSE,75525
Histopathology,NA,FALSE,75526
Histopathology,NA,FALSE,75527
Histopathology,NA,FALSE,75529
Histopathology,NA,FALSE,75530
Histopathology,NA,FALSE,75531
Histopathology,NA,FALSE,75533
Histopathology,NA,FALSE,75534
Histopathology,NA,FALSE,75535
Histopathology,NA,FALSE,75537
Histopathology,NA,FALSE,75538
Histopathology,NA,FALSE,75539
Histopathology,NA,FALSE,75541
Histopathology,NA,FALSE,75542
Histopathology,NA,FALSE,75543
Histopathology,NA,FALSE,75545
Histopathology,NA,FALSE,75546
Histopathology,NA,FALSE,75547
Histopathology,NA,FALSE,75549
Histopathology,NA,FALSE,75550
Histopathology,NA,FALSE,75551
Histopathology,NA,FALSE,75553
Histopathology,NA,FALSE,75554
Histopathology,NA,FALSE,75555
Histopathology,NA,FALSE,75557
Histopathology,NA,FALSE,75558
Histopathology,NA,FALSE,75559
Histopathology,NA,FALSE,75561
Histopathology,NA,FALSE,75562
Histopathology,NA,FALSE,75563
Histopathology,NA,FALSE,75565
Histopathology,NA,FALSE,75566
Histopathology,NA,FALSE,75567
Histopathology,NA,FALSE,75569
Histopathology,NA,FALSE,75570
Histopathology,NA,FALSE,75571
Histopathology,NA,FALSE,75573
Histopathology,NA,FALSE,75574
Histopathology,NA,FALSE,75575
Histopathology,NA,FALSE,75577
Histopathology,NA,FALSE,75578
Histopathology,NA,FALSE,75579
Histopathology,NA,FALSE,75581
Histopathology,NA,FALSE,75582
Histopathology,NA,FALSE,75583
Histopathology,NA,FALSE,75585
Histopathology,NA,FALSE,75586
Histopathology,NA,FALSE,75587
Histopathology,NA,FALSE,75589
Histopathology,NA,FALSE,75590
Histopathology,NA,FALSE,75591
Histopathology,NA,FALSE,75593
Histopathology,NA,FALSE,75594
Histopathology,NA,FALSE,75595
Histopathology,NA,FALSE,75597
Histopathology,NA,FALSE,75598
Histopathology,NA,FALSE,75599
Histopathology,NA,FALSE,75600
Histopathology,NA,FALSE,75601
Histopathology,NA,FALSE,75602
Histopathology,NA,FALSE,75603
Histopathology,NA,FALSE,75605
Histopathology,NA,FALSE,75606
Histopathology,NA,FALSE,75607
Histopathology,NA,FALSE,75609
Histopathology,NA,FALSE,75610
Histopathology,NA,FALSE,75611
Histopathology,NA,FALSE,75613
Histopathology,NA,FALSE,75614
Histopathology,NA,FALSE,75615
Histopathology,NA,FALSE,75617
Histopathology,NA,FALSE,75618
Histopathology,NA,FALSE,75619
Histopathology,NA,FALSE,75621
Histopathology,NA,FALSE,75622
Histopathology,NA,FALSE,75623
Histopathology,NA,FALSE,75625
Histopathology,NA,FALSE,75626
Histopathology,NA,FALSE,75627
Histopathology,NA,FALSE,75629
Histopathology,NA,FALSE,75630
Histopathology,NA,FALSE,75631
Histopathology,NA,FALSE,75633
Histopathology,NA,FALSE,75634
Histopathology,NA,FALSE,75635
Histopathology,NA,FALSE,75637
Histopathology,NA,FALSE,75638
Histopathology,NA,FALSE,75639
Histopathology,NA,FALSE,75641
Histopathology,NA,FALSE,75642
Histopathology,NA,FALSE,75643
Histopathology,NA,FALSE,75645
Histopathology,NA,FALSE,75646
Histopathology,NA,FALSE,75647
Histopathology,NA,FALSE,75649
Histopathology,NA,FALSE,75650
Histopathology,NA,FALSE,75651
Histopathology,NA,FALSE,75653
Histopathology,NA,FALSE,75654
Histopathology,NA,FALSE,75655
Histopathology,NA,FALSE,75657
Histopathology,NA,FALSE,75658
Histopathology,NA,FALSE,75659
Histopathology,NA,FALSE,75661
Histopathology,NA,FALSE,75662
Histopathology,NA,FALSE,75663
Histopathology,NA,FALSE,75665
Histopathology,NA,FALSE,75666
Histopathology,NA,FALSE,75667
Histopathology,NA,FALSE,75669
Histopathology,NA,FALSE,75670
Histopathology,NA,FALSE,75671
Histopathology,NA,FALSE,75673
Histopathology,NA,FALSE,75674
Histopathology,NA,FALSE,75675
Histopathology,NA,FALSE,75677
Histopathology,NA,FALSE,75678
Histopathology,NA,FALSE,75679
Histopathology,NA,FALSE,75681
Histopathology,NA,FALSE,75682
Histopathology,NA,FALSE,75683
Histopathology,NA,FALSE,75685
Histopathology,NA,FALSE,75686
Histopathology,NA,FALSE,75687
Histopathology,NA,FALSE,75688
Histopathology,NA,FALSE,75689
Histopathology,NA,FALSE,75690
Histopathology,NA,FALSE,75691
Histopathology,NA,FALSE,75703
Histopathology,NA,FALSE,75704
Histopathology,NA,FALSE,75785
Histopathology,NA,FALSE,75786
Histopathology,NA,FALSE,75787
Histopathology,NA,FALSE,75788
Histopathology,NA,FALSE,75847
Histopathology,NA,FALSE,75873
Histopathology,NA,FALSE,75874
Histopathology,NA,FALSE,75875
Histopathology,NA,FALSE,75876
Histopathology,NA,FALSE,75877
Histopathology,NA,FALSE,75878
Histopathology,NA,FALSE,75879
Histopathology,NA,FALSE,75880
Histopathology,NA,FALSE,75881
Histopathology,NA,FALSE,75882
Histopathology,NA,FALSE,75883
Histopathology,NA,FALSE,75884
Histopathology,NA,FALSE,75885
Histopathology,NA,FALSE,75886
Histopathology,NA,FALSE,75887
Histopathology,NA,FALSE,75888
Histopathology,NA,FALSE,75889
Histopathology,NA,FALSE,75890
Histopathology,NA,FALSE,75891
Histopathology,NA,FALSE,75892
Histopathology,NA,FALSE,85609
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67597
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67598
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67599
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,67600
Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE,74120
Gross Morphology Embryo E9.5,NA,FALSE,42569
Gross Morphology Embryo E9.5,NA,FALSE,42570
Gross Morphology Embryo E9.5,NA,FALSE,42571
Gross Morphology Embryo E9.5,NA,FALSE,42572
Gross Morphology Embryo E9.5,NA,FALSE,42573
Gross Morphology Embryo E9.5,NA,FALSE,42574
Gross Morphology Embryo E9.5,NA,FALSE,42575
Gross Morphology Embryo E9.5,NA,FALSE,42576
Gross Morphology Embryo E9.5,NA,FALSE,42577
Gross Morphology Embryo E9.5,NA,FALSE,42578
Gross Morphology Embryo E9.5,NA,FALSE,42579
Housing and Husbandry,Housing_and_husbandry,FALSE,89677
Housing and Husbandry,Housing_and_husbandry,FALSE,89678
Housing and Husbandry,Housing_and_husbandry,FALSE,89679
Housing and Husbandry,Housing_and_husbandry,FALSE,89680
Housing and Husbandry,Housing_and_husbandry,FALSE,89681
Housing and Husbandry,Housing_and_husbandry,FALSE,89682
Housing and Husbandry,Housing_and_husbandry,FALSE,89683
Housing and Husbandry,Housing_and_husbandry,FALSE,89684
Housing and Husbandry,Housing_and_husbandry,FALSE,89685
Housing and Husbandry,Housing_and_husbandry,FALSE,89686
Housing and Husbandry,Housing_and_husbandry,FALSE,89687
Housing and Husbandry,Housing_and_husbandry,FALSE,89688
Housing and Husbandry,Housing_and_husbandry,FALSE,89689
Housing and Husbandry,Housing_and_husbandry,FALSE,89690
Housing and Husbandry,Housing_and_husbandry,FALSE,89691
Housing and Husbandry,Housing_and_husbandry,FALSE,89692
Housing and Husbandry,Housing_and_husbandry,FALSE,89693
Housing and Husbandry,Housing_and_husbandry,FALSE,89694
Housing and Husbandry,Housing_and_husbandry,FALSE,89695
Housing and Husbandry,Housing_and_husbandry,FALSE,89696
Housing and Husbandry,Housing_and_husbandry,FALSE,89697
Housing and Husbandry,Housing_and_husbandry,FALSE,89698
Housing and Husbandry,Housing_and_husbandry,FALSE,89699
Housing and Husbandry,Housing_and_husbandry,FALSE,89700
Housing and Husbandry,Housing_and_husbandry,FALSE,89701
Housing and Husbandry,Housing_and_husbandry,FALSE,89702
Housing and Husbandry,Housing_and_husbandry,FALSE,89703
Housing and Husbandry,Housing_and_husbandry,FALSE,89704
Housing and Husbandry,Housing_and_husbandry,FALSE,89705
Housing and Husbandry,Housing_and_husbandry,FALSE,89706
Housing and Husbandry,Housing_and_husbandry,FALSE,89707
Housing and Husbandry,Housing_and_husbandry,FALSE,89708
Housing and Husbandry,Housing_and_husbandry,FALSE,89709
Housing and Husbandry,Housing_and_husbandry,FALSE,89710
Housing and Husbandry,Housing_and_husbandry,FALSE,89711
Housing and Husbandry,Housing_and_husbandry,FALSE,89712
Housing and Husbandry,Housing_and_husbandry,FALSE,89713
Housing and Husbandry,Housing_and_husbandry,FALSE,89714
Housing and Husbandry,Housing_and_husbandry,FALSE,89715
Housing and Husbandry,Housing_and_husbandry,FALSE,89716
Housing and Husbandry,Housing_and_husbandry,FALSE,89717
Housing and Husbandry,Housing_and_husbandry,FALSE,89718
Housing and Husbandry,Housing_and_husbandry,FALSE,89719
Housing and Husbandry,Housing_and_husbandry,FALSE,89720
Housing and Husbandry,Housing_and_husbandry,FALSE,90854
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29774
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29775
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29776
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29777
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29778
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29779
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29780
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29781
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29782
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29783
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29784
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29785
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29786
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29787
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29788
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29789
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29790
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29791
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29792
Hematology,Hematological assessment of blood determines blood cell counts (white blood cells red blood cells hemoglobin and platelets) and additional hematological parameters (hematocrit mean cell volume mean corpuscular hemoglobin mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs.&nbsp;Ontological description: MP:0002429 - abnormal blood cell morphology/development.,TRUE,29793
