"","impcParameterOrigId","name","description","parameterId"
"148",44524,"Liver Size","liver_size","IMPC_GEO_037_001"
"149",44525,"Nervous System","nervous_system","IMPC_GEO_039_001"
"150",44526,"Brain Development","brain_development","IMPC_GEO_040_001"
"151",44527,"Vision/Eye","vision_eye","IMPC_GEO_044_001"
"152",44528,"Eye Morphology","eye_morphology","IMPC_GEO_045_001"
"153",44529,"Eye Size","eye_size","IMPC_GEO_046_001"
"154",44530,"Comment on image","comment_on_image","IMPC_GEO_049_001"
"155",44531,"Images","images","IMPC_GEO_050_001"
"156",44532,"Experimenter ID","experimenter_id","IMPC_GEO_051_001"
"157",44533,"Equipment ID","equipment_id","IMPC_GEO_052_001"
"158",44534,"Equipment Manufacturer","equipment_manufacturer","IMPC_GEO_053_001"
"159",44535,"Equipment Model","equipment_model","IMPC_GEO_054_001"
"160",44536,"Fixative","fixative","IMPC_GEO_055_001"
"161",44537,"Time of Dissection","time_of_dissection","IMPC_GEO_056_001"
"162",44538,"Somite Stage","somite_stage","IMPC_GEO_057_001"
"163",44539,"Time of dark cycle start","time_of_dark_cycle_start","IMPC_GEO_058_001"
"164",44540,"Time of dark cycle end","time_of_dark_cycle_end","IMPC_GEO_059_001"
"165",44541,"Date equipment last calibrated","date_equipment_last_calibrated","IMPC_GEO_060_001"
"166",44542,"Absent heartbeat","absent_heartbeat","IMPC_GEO_007_002"
"167",44543,"Hemorrhage","hemorrhage","IMPC_GEO_009_002"
"168",44544,"Skin Hemorrhage","skin_hemorrhage","IMPC_GEO_010_002"
"169",44545,"Facial Cleft","facial_cleft","IMPC_GEO_017_002"
"170",44546,"Cleft Palate","cleft_palate","IMPC_GEO_018_002"
"171",44547,"Hydrops fetalis (fetal adema)","hydrops_fetalis_fetal_adema","IMPC_GEO_025_002"
"172",44548,"Gastroschisis (herniated abdominal wall)","gastroschisis_herniated_abdominal_wall","IMPC_GEO_026_002"
"173",44549,"Polydactyly","polydactyly","IMPC_GEO_034_002"
"174",44550,"Pale Liver","pale_liver","IMPC_GEO_038_002"
"175",44551,"Exencephaly","exencephaly","IMPC_GEO_041_002"
"176",44552,"Holoprosencephaly","holoprosencephaly","IMPC_GEO_042_002"
"177",44553,"spina bifida","spina_bifida","IMPC_GEO_043_002"
"178",44554,"Microphthalmia","microphthalmia","IMPC_GEO_047_002"
"179",44555,"Anophthalmia","anophthalmia","IMPC_GEO_048_002"
"180",44556,"Severely Dysmorphic",NA,"IMPC_GEO_061_001"
"181",36688,"Outcome",NA,"IMPC_EVP_001_001"
"182",36689,"Decision",NA,"IMPC_EVP_002_001"
"183",36690,"Comment on Decision (in English)",NA,"IMPC_EVP_003_001"
"184",36691,"Total embryos",NA,"IMPC_EVP_004_001"
"185",36692,"Total embryos heterozygous",NA,"IMPC_EVP_005_001"
"186",36693,"Total embryos homozygous",NA,"IMPC_EVP_006_001"
"187",36694,"Total dead embryos",NA,"IMPC_EVP_007_001"
"188",36695,"Total dead WT",NA,"IMPC_EVP_008_001"
"189",36696,"Total dead heterozygous",NA,"IMPC_EVP_009_001"
"190",36697,"Total dead homozygous",NA,"IMPC_EVP_010_001"
"191",36698,"Total gross defect at dissection (alive or dead) embryos",NA,"IMPC_EVP_011_001"
"192",36699,"Total gross defect at dissection (alive or dead) WT",NA,"IMPC_EVP_012_001"
"193",36700,"Total gross defect at dissection (alive or dead) heterozygous",NA,"IMPC_EVP_013_001"
"194",36701,"Total gross defect at dissection (alive or dead) homozygous",NA,"IMPC_EVP_014_001"
"195",36702,"Number of reabsorptions",NA,"IMPC_EVP_015_001"
"196",36703,"Average Litter Size",NA,"IMPC_EVP_016_001"
"197",36704,"% embryos WT",NA,"IMPC_EVP_017_001"
"198",36705,"% embryos heterozygous",NA,"IMPC_EVP_018_001"
"199",36706,"% embryos homozygous",NA,"IMPC_EVP_019_001"
"200",36707,"Time of dark cycle start",NA,"IMPC_EVP_020_001"
"201",36708,"Time of dark cycle end",NA,"IMPC_EVP_021_001"
"202",36709,"Embryo medium",NA,"IMPC_EVP_022_001"
"203",36710,"Total embryos WT",NA,"IMPC_EVP_023_001"
"204",36711,"Total live embryos",NA,"IMPC_EVP_024_001"
"205",36712,"Total live heterozygous",NA,"IMPC_EVP_025_001"
"206",36713,"Total live WT",NA,"IMPC_EVP_026_001"
"207",36714,"Total live homozygous",NA,"IMPC_EVP_027_001"
"208",89677,"Pipeline ID(s)","pipeline_ids_applicable_to_housing_conditions","IMPC_HOU_003_002"
"209",89678,"Date effective from","date_effective_from","IMPC_HOU_004_002"
"210",89679,"Date effective until","date_effective_until","IMPC_HOU_005_002"
"211",89680,"Housing - temperature regulated","housing_temperature_regulated","IMPC_HOU_009_001"
"212",89681,"Housing - temperature range","housing_temperature_range","IMPC_HOU_068_001"
"213",89682,"Housing - relative humidity regulated","housing_relative_humidity_regulated","IMPC_HOU_012_001"
"214",89683,"Housing - relative humidity range","housing_relative_humidity_range","IMPC_HOU_069_001"
"215",89684,"Housing - ventilation managed","housing_ventilation_managed","IMPC_HOU_015_001"
"216",89685,"Housing - air changes per hour in the room (range)","housing_air_changes_per_hour_in_the_room_range","IMPC_HOU_070_001"
"217",89686,"Housing - IVC ventilation","housing_ivc_ventilation","IMPC_HOU_019_001"
"218",89687,"Housing - air changes per hour in the IVC unit (range)","housing_ivc_ventilation_managed","IMPC_HOU_071_001"
"219",89688,"Housing - light source","housing_light_source","IMPC_HOU_023_001"
"220",89689,"Housing - light intensity (range)","housing_light_intensity_range","IMPC_HOU_072_001"
"221",89690,"Housing - time lights switched on","housing_time_lights_switched_on","IMPC_HOU_027_001"
"222",89691,"Housing - time lights switched off","housing_time_lights_switched_off","IMPC_HOU_028_001"
"223",89692,"Housing - cage manufacturer","housing_cage_manufacturer","IMPC_HOU_073_001"
"224",89693,"Housing - cage model","housing_cage_model","IMPC_HOU_074_001"
"225",89694,"Housing - Racking system manufacturer","housing_rack_system_manufacturer","IMPC_HOU_075_001"
"226",89695,"Housing - cage dimensions (L x W x H in mm)","housing_cage_dimensions_lxwxh","IMPC_HOU_076_001"
"227",89696,"Housing - animals per cage - Female maximum","housing_female_animals_per_cage_max","IMPC_HOU_077_001"
"228",89697,"Housing - animals per cage - Female minimum","housing_female_animals_per_cage_min","IMPC_HOU_078_001"
"229",89698,"Housing - animals per cage - Male maximum","housing_male_animals_per_cage_max","IMPC_HOU_079_001"
"230",89699,"Housing - animals per cage - Male minimum","housing_male_animals_per_cage_min","IMPC_HOU_080_001"
"231",89700,"Housing - bedding type","housing_bedding_type","IMPC_HOU_035_002"
"232",89701,"Housing - bedding pre-treatment","housing_bedding_pre_treatment","IMPC_HOU_036_001"
"233",89702,"Housing - cage enrichment","housing_cage_enrichment","IMPC_HOU_037_002"
"234",89703,"Housing - frequency of cage cleaning","housing_frequency_of_cage_cleaning","IMPC_HOU_038_001"
"235",89704,"Housing - frequency of handling (excluding phenotyping)","housing_frequency_of_handling","IMPC_HOU_039_002"
"236",89705,"Housing - frequency of animal welfare assessments","housing_frequency_of_animal_welfare_assessments","IMPC_HOU_081_001"
"237",89706,"Nutrition - supplier of diet","nutrition_diet_supplier","IMPC_HOU_082_001"
"238",89707,"Nutrition - product ID of diet","nutrition_product_id","IMPC_HOU_083_001"
"239",89708,"Nutrition - diet type","nutrition_diet_type","IMPC_HOU_041_001"
"240",89709,"Nutrition - average composition (based on mass) - Carbohydrate","nutrition_average_composition_based_on_mass_carbohydrate","IMPC_HOU_043_002"
"241",89710,"Nutrition - average composition (based on mass) - Fat","nutrition_average_composition_based_on_mass_fat","IMPC_HOU_044_002"
"242",89711,"Nutrition - average composition (based on mass) - Protein","nutrition_average_composition_based_on_mass_protein","IMPC_HOU_045_002"
"243",89712,"Nutrition - feeding regime (excluding fasting periods)","nutrition_feeding_regime_excluding_fasting_periods","IMPC_HOU_050_001"
"244",89713,"Nutrition - source of lipids","nutrition_source_of_lipids","IMPC_HOU_051_002"
"245",89714,"Water - pre-treatment","water_pre_treatment","IMPC_HOU_053_002"
"246",89715,"Water - schedule (quantity)","water_schedule_quantity","IMPC_HOU_054_001"
"247",89716,"Water - supply method","water_supply_method","IMPC_HOU_055_001"
"248",89717,"Microbiological status - status of your centre","microbiological_status_status_of_your_centre","IMPC_HOU_056_001"
"249",89718,"Microbiological status - pathogens testing frequency","microbiological_testing_frequency","IMPC_HOU_084_001"
"250",89719,"Phenotyping lifestage","phenotyping_lifestage","IMPC_HOU_085_001"
"251",89720,"Water - quality monitored","water_quality_monitored","IMPC_HOU_052_001"
"252",90854,"Submission Identifier",NA,"IMPC_HOU_086_001"
"253",44811,"Alive","alive","IMPC_GEP_001_001"
"254",44812,"Scored","scored","IMPC_GEP_002_001"
"255",44813,"Behavior/neurological","behavior_neurological","IMPC_GEP_003_001"
"256",44814,"Cardiovascular System","cardiovascular_system","IMPC_GEP_006_001"
"257",44815,"Cardiovascular Development","cardiovascular_development","IMPC_GEP_007_001"
"258",44816,"Heart Development","heart_development","IMPC_GEP_008_001"
"259",44817,"Outflow tract development","outflow_tract_development","IMPC_GEP_009_001"
"260",44818,"Heart Morphology","heart_morphology","IMPC_GEP_010_001"
"261",44819,"Blood Vessel Morphology","blood_vessel_morphology","IMPC_GEP_013_001"
"262",44820,"Craniofacial","craniofacial","IMPC_GEP_014_001"
"263",44821,"Head shape","head_shape","IMPC_GEP_015_001"
"264",44822,"Head size","head_size","IMPC_GEP_016_001"
"265",44823,"Facial Morphology","facial_morphology","IMPC_GEP_017_001"
"266",44824,"Digestive/alimentary","digestive_alimentary","IMPC_GEP_020_001"
"267",44825,"Digestive System Morphology","digestive_system_morphology","IMPC_GEP_021_001"
"268",44826,"Embryo Size","embryo_size","IMPC_GEP_022_001"
"269",44827,"Embryo weight","embryo_weight","IMPC_GEP_023_001"
"270",44828,"Body wall morphology","body_wall_morphology","IMPC_GEP_024_001"
"271",44829,"Hearing/Vestibular/Ear","hearing_vestibular_ear","IMPC_GEP_025_001"
"272",44830,"Outer ear morpholgy","outer_ear_morpholgy","IMPC_GEP_026_001"
"273",44831,"Ear Development","ear_development","IMPC_GEP_027_001"
"274",44832,"Homeostasis/metabolism","homeostasis_metabolism","IMPC_GEP_028_001"
"275",44833,"Integument","integument","IMPC_GEP_032_001"
"276",44834,"Vibrissa Morphology","vibrissa_morphology","IMPC_GEP_033_001"
"277",44835,"Skin Appearance","skin_appearance","IMPC_GEP_034_001"
"278",44836,"Skin Coloration","skin_coloration","IMPC_GEP_036_001"
"279",44837,"Limb Morphology","limb_morphology","IMPC_GEP_037_001"
"280",44838,"Tail Morphology","tail_morphology","IMPC_GEP_038_001"
"281",44839,"Liver/Biliary","liver_biliary","IMPC_GEP_040_001"
"282",44840,"Liver Morphology","liver_morphology","IMPC_GEP_041_001"
"283",44841,"Liver Size","liver_size","IMPC_GEP_042_001"
"284",44842,"Muscle","muscle","IMPC_GEP_043_001"
"285",44843,"Diaphragm Morphology","diaphragm_morphology","IMPC_GEP_044_001"
"286",44844,"Nervous System","nervous_system","IMPC_GEP_045_001"
"287",44845,"Brain Development","brain_development","IMPC_GEP_046_001"
"288",44846,"Renal/Urinary","renal_urinary","IMPC_GEP_050_001"
"289",44847,"Kidney","kidney","IMPC_GEP_051_001"
"290",44848,"Respiratory System","respiratory_system","IMPC_GEP_052_001"
"291",44849,"Lung Morphology","lung_morphology","IMPC_GEP_053_001"
"292",44850,"Lung Development","lung_development","IMPC_GEP_054_001"
"293",44851,"Vision/Eye","vision_eye","IMPC_GEP_056_001"
"294",44852,"Eye Morphology","eye_morphology","IMPC_GEP_057_001"
"295",44853,"Eye Size","eye_size","IMPC_GEP_058_001"
"296",44854,"Number of cervical vertebrae","number_of_cervical_vertebrae","IMPC_GEP_062_001"
"297",44855,"Comment on image","comment_on_image","IMPC_GEP_063_001"
"298",44856,"Images","images","IMPC_GEP_064_001"
"299",44857,"Experimenter ID","experimenter_id","IMPC_GEP_065_001"
"300",44858,"Equipment ID","equipment_id","IMPC_GEP_066_001"
"301",44859,"Equipment Manufacturer","equipment_manufacturer","IMPC_GEP_067_001"
"302",44860,"Equipment Model","equipment_model","IMPC_GEP_068_001"
"303",44861,"Fixative","fixative","IMPC_GEP_069_001"
"304",44862,"Time of Dissection","time_of_dissection","IMPC_GEP_070_001"
"305",44863,"Somite Stage","somite_stage","IMPC_GEP_071_001"
"306",44864,"Time of dark cycle start","time_of_dark_cycle_start","IMPC_GEP_072_001"
"307",44865,"Time of dark cycle end","time_of_dark_cycle_end","IMPC_GEP_073_001"
"308",44866,"Date equipment last calibrated","date_equipment_last_calibrated","IMPC_GEP_074_001"
"309",44867,"Spontaneous movement","no_spontaneous_movement","IMPC_GEP_004_002"
"310",44868,"Responsive to tactile stimuli","unresponsive_to_tactile_stimuli","IMPC_GEP_005_002"
"311",44869,"Hemorrhage","hemorrhage","IMPC_GEP_011_002"
"312",44870,"Skin Hemorrhage","skin_hemorrhage","IMPC_GEP_012_002"
"313",44871,"Facial Cleft","facial_cleft","IMPC_GEP_018_002"
"314",44872,"Cleft Palate","cleft_palate","IMPC_GEP_019_002"
"315",44873,"Cyanosis","cyanosis","IMPC_GEP_029_002"
"316",44874,"Edema","edema","IMPC_GEP_030_002"
"317",44875,"Hydrops fetalis (fetal adema)","hydrops_fetalis_fetal_adema","IMPC_GEP_031_002"
"318",44876,"Pallor","pallor","IMPC_GEP_035_002"
"319",44877,"Polydactyly","polydactyly","IMPC_GEP_039_002"
"320",44878,"Exencephaly","exencephaly","IMPC_GEP_047_002"
"321",44879,"Holoprosencephaly","holoprosencephaly","IMPC_GEP_048_002"
"322",44880,"spina bifida","spina_bifida","IMPC_GEP_049_002"
"323",44881,"Respiratory Failure","respiratory_failure","IMPC_GEP_055_002"
"324",44882,"Microphthalmia","microphthalmia","IMPC_GEP_059_002"
"325",44883,"Anophthalmia","anophthalmia","IMPC_GEP_060_002"
"326",44884,"Failure of Eyelid Fusion","failure_of_eyelid_fusion","IMPC_GEP_061_002"
"327",44885,"Severely Dysmorphic",NA,"IMPC_GEP_075_001"
"328",73074,"Embryo reconstruction",NA,"IMPC_EMA_001_001"
"329",73075,"Experimenter ID",NA,"IMPC_EMA_002_001"
"330",73076,"Equipment ID",NA,"IMPC_EMA_003_001"
"331",73077,"Equipment Manufacturer",NA,"IMPC_EMA_004_001"
"332",73078,"Equipment Model",NA,"IMPC_EMA_005_001"
"333",73079,"Equipment Version",NA,"IMPC_EMA_006_001"
"334",73080,"Image Pixel Size",NA,"IMPC_EMA_007_001"
"335",73081,"E18.5 MicroCT Preparation protocol",NA,"IMPC_EMA_008_001"
"336",73082,"Date equipment last calibrated",NA,"IMPC_EMA_009_001"
"337",73083,"Date of Sacrifice",NA,"IMPC_EMA_010_001"
"338",73084,"Date Preparation Finished",NA,"IMPC_EMA_011_001"
"339",73085,"Date of Scan",NA,"IMPC_EMA_012_001"
"340",73086,"Source Voltage",NA,"IMPC_EMA_013_001"
"341",73087,"Source Current",NA,"IMPC_EMA_014_001"
"342",73088,"Object to Source",NA,"IMPC_EMA_015_001"
"343",73089,"Camera to Source",NA,"IMPC_EMA_016_001"
"344",73090,"Screenshots",NA,"IMPC_EMA_017_001"
"345",73091,"Limb digits",NA,"IMPC_EMA_018_001"
"346",73092,"Tail",NA,"IMPC_EMA_019_001"
"347",73093,"Limbs",NA,"IMPC_EMA_020_001"
"348",73094,"Pinna",NA,"IMPC_EMA_021_001"
"349",73095,"Vibrissa",NA,"IMPC_EMA_022_001"
"350",73096,"Edema",NA,"IMPC_EMA_023_001"
"351",73097,"Embryo size",NA,"IMPC_EMA_024_001"
"352",73098,"Spinal Cord",NA,"IMPC_EMA_025_001"
"353",73099,"Spine curvature",NA,"IMPC_EMA_026_001"
"354",73100,"Craniofacial morphology",NA,"IMPC_EMA_027_001"
"355",73101,"Hindbrain subarachnoid space",NA,"IMPC_EMA_028_001"
"356",73102,"Midbrain roof plate",NA,"IMPC_EMA_029_001"
"357",73103,"Midbrain",NA,"IMPC_EMA_030_001"
"358",73104,"Cerebellum",NA,"IMPC_EMA_031_001"
"359",73105,"Cerebral cortex",NA,"IMPC_EMA_032_001"
"360",73106,"Thalamus",NA,"IMPC_EMA_033_001"
"361",73107,"Corpus striatum",NA,"IMPC_EMA_034_001"
"362",73108,"Hippocampus",NA,"IMPC_EMA_035_001"
"363",73109,"Hypothalamus",NA,"IMPC_EMA_036_001"
"364",73110,"Pineal gland",NA,"IMPC_EMA_037_001"
"365",73111,"Pons",NA,"IMPC_EMA_038_001"
"366",73112,"Medulla oblongata",NA,"IMPC_EMA_039_001"
"367",73113,"Lateral ventricles",NA,"IMPC_EMA_040_001"
"368",73114,"Lateral ventricle choroid plexus",NA,"IMPC_EMA_041_001"
