"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id","check_result"
"MGI:2148801","Afg1l","C57BL","Early adult","IMPC_HEM_037_001",0.2329936,"Basophil cell count","01evtqcrap760ja",""
"MGI:1197515","Irx1","C57BL","E15.5","IMPC_GEL_032_001",0.7864057,"Embryo Size","01fd202r1kitrb0",""
"MGI:2685787","Arhgef33","C57BL","Early adult","JAX_SLW_007_001",0.8699841,"Light sleep bout lengths mean","01ff79rz85qk25f",""
"MGI:1889272","Cadm1","C57BL","Early adult","KMPCIP_CSD_005_001",0.9415528,"Coat - color - back","01ff8e721nj6444",""
"MGI:3779462","Plscr5","C57BL","Early adult","IMPC_IMM_061_001",0.1805842,"T Cells (panel B)","01fl5n83ici8516",""
"MGI:1920211","Slc17a7","C57BL","Early adult","IMPC_OFD_014_001",0.3474521,"Center distance travelled","01fwt26qi2jnj19",""
"MGI:1914545","Rab3c","C57BL","Early adult","IMPC_CSD_010_001",0.7840308,"Coat - color pattern - abdomen","01h1cbjg743651q",""
"MGI:1914391","Fbxo5","C57BL","E9.5","IMPC_CSD_028_001",0.4496089,"Snout size","01h5nuz3488i93s",""
"MGI:1197515","Irx1","C57BL","E15.5","IMPC_CBC_008_001",0.9817141,"Total bilirubin","01hr52aue70mg5d",""
"MGI:1913483","Dmap1","C57BL","E9.5","IMPC_CSD_005_001",0.4729832,"Coat - color - back","01ilyo7e63c5693",""
"MGI:2654470","Ctdsp1","C57BL","Early adult","ESLIM_009_001_702",0.7573877,"Forelimb and hindlimb grip strength measurement mean","01ip0199tit145i",""
"MGI:96080","Mst1","C57BL","Early adult","ESLIM_019_001_007",0.1460096,"IgE","01iw0ujy2113pwd",""
"MGI:1919669","Fam72a","C57BL","Early adult","IMPC_HEM_002_001",0.3439822,"Red blood cell count","01j0og0poqwq8p6",""
"MGI:1922806","Cfap161","C57BL","Early adult","IMPC_CSD_074_001",4.551795e-05,"Mouth morphology","01j40436g9s0y5w",""
"MGI:2442144","Taf5","C57BL","Early adult","IMPC_EYE_059_001",0.2982512,"Mean right eye lens density","01jcq7b469a2wn7",""
"MGI:1929743","Asb2","C57BL","E12.5","IMPC_GRS_010_001",0.3946957,"Forelimb grip strength normalised against body weight","01jmd0830g71zep",""
"MGI:2148801","Afg1l","C57BL","Early adult","JAX_OFD_021_001",0.8185245,"Number of rears - total","01k78fc5cryy3nu",""
"MGI:108404","Apbb3","C57BL","Early adult","KMPCIP_CSD_005_001",0.4537818,"Coat - color - back","01l0q91853859r6",""
"MGI:1919066","Rnf180","C57BL","Early adult","IMPC_ECH_007_001",0.7145604,"LVAWd","01lfuu78j3h7kl9",""
"MGI:1921358","Parn","C57BL","Early adult","HRWLLA_EYE_092_001",0.3458377,"Retina (combined)","01lwsak292a81k4",""
"MGI:1341157","Sox30","C57BL","Early adult","KMPCIP_CSD_008_001",0.6487558,"Coat - color pattern - back","01mcd2k3q5pl1uf",""
"MGI:1926950","Zfp236","C57BL","Early adult","ESLIM_008_001_008",0.9960203,"Locomotor activity","01n036ndj8v5584",""
"MGI:107416","Supt4a","C57BL","E12.5","KMPCLA_CSD_008_001",0.2220446,"Coat - color pattern - back","01nqkkkv74jwbjf",""
"MGI:1926950","Zfp236","C57BL","Middle aged adult","ESLIM_009_001_702",0.1367758,"Forelimb and hindlimb grip strength measurement mean","01o50g1p8x741v5",""
"MGI:107416","Supt4a","C57BL","E9.5","IMPC_HEM_036_001",0.7107737,"Eosinophil cell count","01p9p0be46w253u",""
"MGI:1298224","Pip5k1c","C57BL","Early adult","IMPC_ECH_012_001",0.7363885,"LVPWs","01pnhnmaps2n0n3",""
"MGI:2141861","Ap2s1","C57BL","Early adult","ESLIM_008_001_012",0.2002762,"Tail elevation","01po9vzc5rhe452",""
"MGI:1920081","Dhx30","C57BL","Early adult","IMPC_HEM_027_001",0.785494,"Red blood cell distribution width","01repeq555681zy",""
